,Unnamed: 0,A,B
14965,14965,501,530
14966,14966,501,526
14967,14967,500,520
14968,14968,501,516
14969,14969,500,510
14970,14970,507,507
14971,14971,510,506
14972,14972,506,506
14973,14973,509,504
14974,14974,509,505
14975,14975,510,507
14976,14976,508,506
14977,14977,510,506
14978,14978,507,504
14979,14979,507,506
14980,14980,507,504
14981,14981,511,503
14982,14982,505,504
14983,14983,506,505
14984,14984,506,503
14985,14985,505,503
14986,14986,508,502
14987,14987,507,501
14988,14988,508,502
14989,14989,505,501
14990,14990,502,511
14991,14991,497,505
14992,14992,496,510
14993,14993,490,510
14994,14994,491,516
14995,14995,490,515
14996,14996,493,515
14997,14997,496,514
14998,14998,501,512
14999,14999,506,512
15000,15000,509,511
15001,15001,514,512
15002,15002,514,512
15003,15003,516,525
15004,15004,513,516
15005,15005,513,520
15006,15006,512,521
15007,15007,511,522
15008,15008,509,517
15009,15009,508,516
15010,15010,507,516
15011,15011,502,512
15012,15012,498,513
15013,15013,493,513
15014,15014,490,514
15015,15015,484,516
15016,15016,477,519
15017,15017,472,517
15018,15018,468,519
15019,15019,465,518
15020,15020,461,519
15021,15021,457,515
15022,15022,457,519
15023,15023,455,519
15024,15024,456,520
15025,15025,456,516
15026,15026,465,515
15027,15027,461,510
15028,15028,464,504
15029,15029,466,495
15030,15030,468,487
15031,15031,474,485
15032,15032,478,478
15033,15033,480,473
15034,15034,484,469
15035,15035,486,467
15036,15036,488,466
15037,15037,490,467
15038,15038,497,468
15039,15039,492,471
15040,15040,491,475
15041,15041,488,478
15042,15042,489,479
15043,15043,486,477
15044,15044,489,485
15045,15045,490,485
15046,15046,493,486
15047,15047,499,482
15048,15048,505,489
15049,15049,512,491
15050,15050,524,494
15051,15051,530,497
15052,15052,540,501
15053,15053,540,508
15054,15054,542,514
15055,15055,543,517
15056,15056,539,522
15057,15057,536,533
15058,15058,533,532
15059,15059,530,538
15060,15060,520,542
15061,15061,521,542
15062,15062,514,542
15063,15063,510,543
15064,15064,504,542
15065,15065,502,546
15066,15066,500,546
15067,15067,500,553
15068,15068,500,547
15069,15069,504,551
15070,15070,508,550
15071,15071,519,551
15072,15072,520,554
15073,15073,525,556
15074,15074,532,554
15075,15075,540,555
15076,15076,548,551
15077,15077,554,546
15078,15078,563,537
15079,15079,572,533
15080,15080,577,530
15081,15081,582,526
15082,15082,584,521
15083,15083,585,518
15084,15084,586,516
15085,15085,581,515
15086,15086,581,512
15087,15087,575,514
15088,15088,572,512
15089,15089,570,515
15090,15090,565,512
15091,15091,567,512
15092,15092,560,510
15093,15093,562,511
15094,15094,559,507
15095,15095,559,511
15096,15096,559,507
15097,15097,562,506
15098,15098,564,506
15099,15099,566,505
15100,15100,568,505
15101,15101,566,502
15102,15102,566,499
15103,15103,562,494
15104,15104,562,491
15105,15105,560,487
15106,15106,559,486
15107,15107,556,495
15108,15108,556,483
15109,15109,554,483
15110,15110,552,482
15111,15111,549,480
15112,15112,544,476
15113,15113,540,476
15114,15114,534,466
15115,15115,530,465
15116,15116,527,465
15117,15117,516,460
15118,15118,505,460
15119,15119,504,461
15120,15120,499,461
15121,15121,497,466
15122,15122,497,465
15123,15123,496,467
15124,15124,495,467
15125,15125,496,467
15126,15126,495,467
15127,15127,495,467
15128,15128,494,467
15129,15129,493,467
15130,15130,495,470
15131,15131,503,471
15132,15132,501,471
15133,15133,502,471
15134,15134,505,474
15135,15135,510,473
15136,15136,512,479
15137,15137,522,483
15138,15138,516,493
15139,15139,516,502
15140,15140,516,510
15141,15141,518,521
15142,15142,512,529
15143,15143,516,538
15144,15144,516,545
15145,15145,518,553
15146,15146,514,556
15147,15147,521,562
15148,15148,511,563
15149,15149,510,564
15150,15150,507,565
15151,15151,501,563
15152,15152,501,561
15153,15153,498,558
15154,15154,498,555
15155,15155,490,555
15156,15156,483,550
15157,15157,476,546
15158,15158,470,541
15159,15159,464,537
15160,15160,460,536
15161,15161,456,532
15162,15162,455,530
15163,15163,452,528
15164,15164,451,527
15165,15165,451,527
15166,15166,451,526
15167,15167,452,524
15168,15168,452,524
15169,15169,455,525
15170,15170,458,526
15171,15171,458,526
15172,15172,459,525
15173,15173,461,526
15174,15174,461,526
15175,15175,462,528
15176,15176,460,527
15177,15177,461,530
15178,15178,463,530
15179,15179,466,531
15180,15180,471,530
15181,15181,476,530
15182,15182,482,529
15183,15183,489,530
15184,15184,494,533
15185,15185,496,537
15186,15186,500,540
15187,15187,500,546
15188,15188,504,546
15189,15189,505,546
15190,15190,506,548
15191,15191,506,545
15192,15192,508,545
15193,15193,505,543
15194,15194,506,543
15195,15195,505,542
15196,15196,502,537
15197,15197,498,534
15198,15198,499,530
15199,15199,499,525
15200,15200,500,520
15201,15201,501,516
15202,15202,504,510
15203,15203,506,507
15204,15204,509,503
15205,15205,509,503
15206,15206,506,501
15207,15207,506,503
15208,15208,504,505
15209,15209,499,507
15210,15210,500,505
15211,15211,500,505
15212,15212,504,505
15213,15213,513,503
15214,15214,508,501
15215,15215,510,495
15216,15216,514,493
15217,15217,514,487
15218,15218,515,482
15219,15219,512,476
15220,15220,511,473
15221,15221,511,470
15222,15222,507,471
15223,15223,504,471
15224,15224,501,476
15225,15225,502,482
15226,15226,506,487
15227,15227,509,495
15228,15228,511,501
15229,15229,516,508
15230,15230,517,511
15231,15231,514,519
15232,15232,517,516
15233,15233,516,517
15234,15234,515,517
15235,15235,516,519
15236,15236,517,519
15237,15237,518,519
15238,15238,522,521
15239,15239,522,522
15240,15240,525,524
15241,15241,524,523
15242,15242,525,519
15243,15243,528,523
15244,15244,524,525
15245,15245,521,523
15246,15246,517,520
15247,15247,513,523
15248,15248,507,523
15249,15249,508,523
15250,15250,496,526
15251,15251,492,526
15252,15252,488,527
15253,15253,481,525
15254,15254,476,522
15255,15255,472,517
15256,15256,466,510
15257,15257,459,509
15258,15258,458,495
15259,15259,457,491
15260,15260,454,485
15261,15261,457,484
15262,15262,459,482
15263,15263,463,483
15264,15264,472,485
15265,15265,468,482
15266,15266,469,479
15267,15267,468,474
15268,15268,472,470
15269,15269,471,463
15270,15270,474,458
15271,15271,476,451
15272,15272,484,449
15273,15273,490,445
15274,15274,499,444
15275,15275,506,444
15276,15276,513,448
15277,15277,521,450
15278,15278,522,461
15279,15279,524,471
15280,15280,524,481
15281,15281,526,492
15282,15282,523,501
15283,15283,522,509
15284,15284,514,513
15285,15285,519,519
15286,15286,519,521
15287,15287,527,527
15288,15288,520,521
15289,15289,524,521
15290,15290,526,520
15291,15291,528,517
15292,15292,530,514
15293,15293,530,512
15294,15294,538,507
15295,15295,534,506
15296,15296,537,507
15297,15297,539,502
15298,15298,542,511
15299,15299,546,510
15300,15300,548,513
15301,15301,548,515
15302,15302,551,517
15303,15303,551,525
15304,15304,552,534
15305,15305,554,537
15306,15306,558,545
15307,15307,564,550
15308,15308,567,555
15309,15309,575,561
15310,15310,579,565
15311,15311,581,568
15312,15312,578,571
15313,15313,574,573
15314,15314,564,569
15315,15315,558,567
15316,15316,542,561
15317,15317,534,555
15318,15318,524,547
15319,15319,518,540
15320,15320,511,535
15321,15321,506,529
15322,15322,506,527
15323,15323,506,524
15324,15324,506,524
15325,15325,506,518
15326,15326,511,512
15327,15327,505,509
15328,15328,506,504
15329,15329,503,497
15330,15330,497,500
15331,15331,498,491
15332,15332,496,491
15333,15333,486,490
15334,15334,488,488
15335,15335,481,486
15336,15336,478,489
15337,15337,476,483
15338,15338,475,479
15339,15339,476,476
15340,15340,476,471
15341,15341,472,471
15342,15342,482,468
15343,15343,488,467
15344,15344,492,468
15345,15345,497,466
15346,15346,501,466
15347,15347,504,468
15348,15348,506,468
15349,15349,511,468
15350,15350,511,471
15351,15351,513,472
15352,15352,514,471
15353,15353,514,467
15354,15354,516,467
15355,15355,513,465
15356,15356,513,463
15357,15357,510,461
15358,15358,509,462
15359,15359,501,462
15360,15360,502,461
15361,15361,497,463
15362,15362,491,466
15363,15363,490,465
15364,15364,487,470
15365,15365,483,469
15366,15366,479,468
15367,15367,477,468
15368,15368,475,466
15369,15369,472,465
15370,15370,470,460
15371,15371,471,462
15372,15372,471,458
15373,15373,473,459
15374,15374,475,455
15375,15375,479,457
15376,15376,488,458
15377,15377,490,461
15378,15378,500,463
15379,15379,505,467
15380,15380,512,473
15381,15381,516,478
15382,15382,521,486
15383,15383,520,490
15384,15384,515,501
15385,15385,518,503
15386,15386,518,511
15387,15387,515,512
15388,15388,511,525
15389,15389,511,519
15390,15390,514,524
15391,15391,516,531
15392,15392,522,529
15393,15393,528,531
15394,15394,540,534
15395,15395,541,537
15396,15396,544,538
15397,15397,549,543
15398,15398,552,547
15399,15399,561,550
15400,15400,560,555
15401,15401,562,564
15402,15402,561,568
15403,15403,560,576
15404,15404,553,578
15405,15405,545,581
15406,15406,536,579
15407,15407,525,579
15408,15408,517,574
15409,15409,509,567
15410,15410,503,566
15411,15411,495,559
15412,15412,488,559
15413,15413,488,547
15414,15414,488,541
15415,15415,486,539
15416,15416,490,530
15417,15417,492,522
15418,15418,496,519
15419,15419,500,518
15420,15420,502,518
15421,15421,505,517
15422,15422,502,519
15423,15423,506,519
15424,15424,504,520
15425,15425,504,521
15426,15426,501,519
15427,15427,500,519
15428,15428,498,517
15429,15429,499,513
15430,15430,496,507
15431,15431,496,509
15432,15432,494,498
15433,15433,492,493
15434,15434,490,489
15435,15435,490,486
15436,15436,493,486
15437,15437,495,486
15438,15438,498,487
15439,15439,500,491
15440,15440,504,495
15441,15441,505,499
15442,15442,507,506
15443,15443,501,510
15444,15444,511,516
15445,15445,515,521
15446,15446,518,526
15447,15447,522,527
15448,15448,523,530
15449,15449,524,530
15450,15450,522,535
15451,15451,528,530
15452,15452,531,529
15453,15453,538,535
15454,15454,540,541
15455,15455,546,551
15456,15456,549,559
15457,15457,552,572
15458,15458,560,577
15459,15459,565,585
15460,15460,566,588
15461,15461,565,587
15462,15462,564,585
15463,15463,560,580
15464,15464,552,582
15465,15465,546,576
15466,15466,544,574
15467,15467,538,569
15468,15468,535,565
15469,15469,532,559
15470,15470,531,554
15471,15471,530,545
15472,15472,529,541
15473,15473,528,534
15474,15474,528,530
15475,15475,526,527
15476,15476,528,525
15477,15477,524,527
15478,15478,524,528
15479,15479,522,530
15480,15480,520,533
15481,15481,516,534
15482,15482,512,531
15483,15483,511,537
15484,15484,507,527
15485,15485,508,527
15486,15486,504,526
15487,15487,507,524
15488,15488,507,523
15489,15489,508,521
15490,15490,506,530
15491,15491,507,536
15492,15492,507,541
15493,15493,506,543
15494,15494,506,543
15495,15495,504,542
15496,15496,504,537
15497,15497,502,526
15498,15498,502,518
15499,15499,500,506
15500,15500,502,494
15501,15501,500,484
15502,15502,498,470
15503,15503,496,461
15504,15504,493,450
15505,15505,488,437
15506,15506,484,427
15507,15507,483,419
15508,15508,481,408
15509,15509,479,406
15510,15510,479,402
15511,15511,478,403
15512,15512,478,404
15513,15513,480,414
15514,15514,483,415
15515,15515,485,421
15516,15516,488,427
15517,15517,491,431
15518,15518,494,439
15519,15519,498,445
15520,15520,500,452
15521,15521,505,458
15522,15522,509,468
15523,15523,510,471
15524,15524,515,477
15525,15525,518,476
15526,15526,525,483
15527,15527,524,483
15528,15528,523,485
15529,15529,525,482
15530,15530,524,484
15531,15531,522,482
15532,15532,520,485
15533,15533,519,485
15534,15534,524,484
15535,15535,522,492
15536,15536,522,495
15537,15537,523,501
15538,15538,526,503
15539,15539,524,512
15540,15540,522,517
15541,15541,524,525
15542,15542,523,533
15543,15543,525,540
15544,15544,525,549
15545,15545,525,559
15546,15546,524,567
15547,15547,521,572
15548,15548,524,574
15549,15549,515,576
15550,15550,510,573
15551,15551,502,565
15552,15552,497,558
15553,15553,492,550
15554,15554,488,543
15555,15555,483,532
15556,15556,483,527
15557,15557,482,526
15558,15558,483,518
15559,15559,484,515
15560,15560,484,515
15561,15561,487,515
15562,15562,488,518
15563,15563,492,516
15564,15564,493,517
15565,15565,498,522
15566,15566,503,522
15567,15567,500,527
15568,15568,504,527
15569,15569,507,532
15570,15570,504,537
15571,15571,508,538
15572,15572,506,540
15573,15573,506,547
15574,15574,507,540
15575,15575,508,548
15576,15576,508,545
15577,15577,508,542
15578,15578,508,538
15579,15579,510,529
15580,15580,510,524
15581,15581,508,518
15582,15582,508,511
15583,15583,504,507
15584,15584,502,501
15585,15585,499,503
15586,15586,498,505
15587,15587,506,508
15588,15588,496,515
15589,15589,497,520
15590,15590,501,525
15591,15591,506,527
15592,15592,508,528
15593,15593,514,528
15594,15594,517,527
15595,15595,522,524
15596,15596,523,522
15597,15597,522,519
15598,15598,525,517
15599,15599,528,518
15600,15600,522,518
15601,15601,521,519
15602,15602,520,519
15603,15603,518,518
15604,15604,515,516
15605,15605,513,513
15606,15606,512,510
15607,15607,511,507
15608,15608,509,506
15609,15609,504,504
15610,15610,506,508
15611,15611,509,512
15612,15612,505,516
15613,15613,508,520
15614,15614,510,527
15615,15615,512,531
15616,15616,514,536
15617,15617,517,539
15618,15618,518,540
15619,15619,518,543
15620,15620,518,543
15621,15621,517,545
15622,15622,516,543
15623,15623,513,540
15624,15624,508,535
15625,15625,511,532
15626,15626,503,525
15627,15627,502,519
15628,15628,497,510
15629,15629,496,495
15630,15630,494,495
15631,15631,492,488
15632,15632,489,481
15633,15633,486,474
15634,15634,485,472
15635,15635,484,468
15636,15636,486,468
15637,15637,481,470
15638,15638,488,474
15639,15639,488,479
15640,15640,493,485
15641,15641,497,487
15642,15642,503,495
15643,15643,508,501
15644,15644,514,509
15645,15645,519,515
15646,15646,522,516
15647,15647,528,523
15648,15648,530,524
15649,15649,530,522
15650,15650,530,515
15651,15651,529,510
15652,15652,526,502
15653,15653,523,499
15654,15654,518,492
15655,15655,519,489
15656,15656,516,490
15657,15657,514,492
15658,15658,512,493
15659,15659,509,495
15660,15660,509,499
15661,15661,506,500
15662,15662,502,503
15663,15663,500,501
15664,15664,505,499
15665,15665,498,496
15666,15666,502,494
15667,15667,502,489
15668,15668,506,492
15669,15669,508,491
15670,15670,519,495
15671,15671,514,497
15672,15672,513,501
15673,15673,513,506
15674,15674,513,508
15675,15675,511,508
15676,15676,511,508
15677,15677,514,509
15678,15678,514,512
15679,15679,518,514
15680,15680,519,519
15681,15681,522,521
15682,15682,524,524
15683,15683,524,523
15684,15684,521,519
15685,15685,518,518
15686,15686,512,522
15687,15687,510,521
15688,15688,506,518
15689,15689,500,514
15690,15690,496,512
15691,15691,491,507
15692,15692,486,499
15693,15693,484,503
15694,15694,484,506
15695,15695,482,503
15696,15696,480,499
15697,15697,480,495
15698,15698,489,489
15699,15699,480,485
15700,15700,481,482
15701,15701,480,482
15702,15702,490,482
15703,15703,484,487
15704,15704,485,491
15705,15705,487,495
15706,15706,487,498
15707,15707,490,505
15708,15708,494,505
15709,15709,498,507
15710,15710,499,507
15711,15711,505,510
15712,15712,508,514
15713,15713,509,518
15714,15714,509,521
15715,15715,507,523
15716,15716,510,523
15717,15717,505,517
15718,15718,501,518
15719,15719,500,513
15720,15720,500,509
15721,15721,504,507
15722,15722,504,502
15723,15723,502,500
15724,15724,504,499
15725,15725,504,496
15726,15726,508,499
15727,15727,511,498
15728,15728,519,499
15729,15729,524,507
15730,15730,530,505
15731,15731,532,509
15732,15732,533,508
15733,15733,534,510
15734,15734,530,507
15735,15735,528,501
15736,15736,524,501
15737,15737,520,498
15738,15738,516,495
15739,15739,513,495
15740,15740,508,484
15741,15741,508,479
15742,15742,507,476
15743,15743,509,473
15744,15744,510,476
15745,15745,510,473
15746,15746,513,475
15747,15747,514,475
15748,15748,515,477
15749,15749,513,478
15750,15750,517,473
15751,15751,518,482
15752,15752,522,489
15753,15753,520,493
15754,15754,529,500
15755,15755,531,507
15756,15756,537,518
15757,15757,540,526
15758,15758,543,536
15759,15759,546,543
15760,15760,547,555
15761,15761,548,559
15762,15762,545,567
15763,15763,544,570
15764,15764,540,575
15765,15765,537,579
15766,15766,538,581
15767,15767,528,578
15768,15768,524,572
15769,15769,520,567
15770,15770,514,563
15771,15771,509,543
15772,15772,506,541
15773,15773,500,531
15774,15774,498,523
15775,15775,496,514
15776,15776,496,517
15777,15777,502,510
15778,15778,508,511
15779,15779,510,509
15780,15780,514,519
15781,15781,516,516
15782,15782,522,522
15783,15783,526,525
15784,15784,532,532
15785,15785,537,535
15786,15786,541,541
15787,15787,541,544
15788,15788,541,545
15789,15789,541,549
15790,15790,536,549
15791,15791,531,551
15792,15792,524,550
15793,15793,522,554
15794,15794,512,548
15795,15795,510,547
15796,15796,504,538
15797,15797,504,542
15798,15798,500,529
15799,15799,498,526
15800,15800,496,522
15801,15801,494,518
15802,15802,496,516
15803,15803,496,516
15804,15804,498,514
15805,15805,498,512
15806,15806,498,509
15807,15807,496,503
